,key,value
4588,Beautiful,146
38445,thank,146
17736,health,146
38457,thanks,145
15439,friends,144
29467,point,144
39061,told,142
41137,Very,142
43140,yet,142
43101,Yep,141
27528,others,141
41507,vote,141
22277,Let,139
8501,community,139
39757,try,138
39758,Try,137
15099,For,137
32137,remember,137
40561,until,137
29340,Please,136
13597,everything,135
29314,playing,135
33872,school,134
1998,agree,134
29841,power,133
17750,hear,133
40278,understand,132
41202,Victoria,132
29528,political,132
10261,Day,131
94,100,130
41856,watching,130
42053,went,130
42634,working,130
32107,religious,129
41222,video,129
24099,media,128
33259,run,128
6644,called,128
15550,fucking,127
8787,Congratulations,127
30294,probably,127
26223,Nice,126
9346,course,126
18630,human,126
4944,between,125
35031,side,125
18039,high,125
18395,Hope,125
15424,Friday,124
11244,different,124
31130,question,124
15538,fuck,123
17148,guy,123
35970,sorry,123
12812,else,122
3159,Are,122
24178,Melbourne,122
23963,maybe,122
15242,found,121
39934,tweet,121
43116,yes,121
39162,top,121
38479,THE,121
42532,woman,120
42249,whole,120
25324,Mpv,120
17989,Hey,120
18520,house,119
3380,ask,119
38608,thinking,118
7598,children,116
27183,once,116
17025,guess,116
33772,says,115
27561,Our,114
12448,early,114
33766,saying,114
35869,Some,113
6979,case,113
35971,Sorry,113
37865,talking,113
2404,Also,113
15220,forward,112
29754,post,112
17630,haven,112
17592,hate,112
3879,awesome,112
22777,local,112
25083,months,111
26646,NSW,111
13982,face,111
28289,past,111
16148,gets,111
25581,myself,110
41824,wasn,110
16141,Get,110
42702,wouldn,109
29025,piece,109
25701,name,108
39098,tomorrow,108
22566,link,108
43237,yourself,108
21300,kind,107
17938,Here,107
5608,book,107
23964,Maybe,106
33700,Saturday,106
546,237,106
42435,wish,105
17241,Haha,105
25000,moment,105
42612,words,105
12692,either,105
41999,weeks,104
41636,waiting,104
11204,Did,104
31641,reason,104
34255,self,104
17332,half,103
34481,set,103
15033,follow,103
42601,word,103
17152,guys,102
37036,stuff,102
6479,buy,101
27214,Only,101
13488,etc,101
10545,definitely,100
9383,covid,100
34183,seems,100
24637,mind,100
41735,war,100
12424,each,100
34085,season,99
1408,absolutely,99
39749,truth,99
8047,close,99
42158,Where,99
17753,heard,98
17450,happened,98
30694,public,98
33743,saw,98
42550,wonderful,98
22998,lovely,98
28392,pay,97
41659,walk,97
4711,behind,97
41811,Was,97
22956,lost,96
18516,hours,96
37858,talk,96
9384,Covid,96
24067,means,96
27282,open,95
24246,men,95
1358,able,95
34167,seeing,95
14280,favourite,95
3167,aren,95
29535,politicians,94
12234,due,94
22081,leave,94
22678,lives,94
39141,took,94
27196,ones,94
9288,couldn,94
33946,Scott,93
42309,wife,93
42546,wonder,93
40724,using,93
38687,three,93
22259,less,93
6425,business,93
7469,check,93
38566,These,93
25128,More,92
16507,gone,92
8387,comes,92
1409,Absolutely,91
41730,wants,91
36590,state,91
12321,during,91
33414,safe,91
3383,asked,91
22846,Lol,91
16303,given,90
13564,Even,90
16462,goes,90
5160,birthday,90
20106,issue,90
3721,Australians,89
34531,sex,89
39045,together,89
24727,minutes,89
6673,came,89
24803,miss,88
36567,started,88
2794,Another,88
10291,dead,88
36023,South,88
37057,stupid,88
37835,taking,88
35530,small,88
30300,problem,88
42687,worth,87
19125,important,87
23063,luck,87
6730,Canberra,87
25960,needed,87
9098,cool,87
34905,shot,87
21919,late,87
14383,feeling,87
36736,Still,87
17448,happen,86
22544,line,86
6039,bring,86
549,238,86
11787,dog,86
7077,cause,86
43220,young,86
14005,fact,86
4904,Best,86
12132,Drinking,85
21923,later,85
20110,issues,85
29299,played,85
43049,yeah,85
18607,huge,85
17874,hell,84
33548,Same,84
42336,Will,83
18160,hit,83
22902,Looks,83
6851,car,83
13087,enjoy,83
16514,gonna,82
31492,rather,82
42214,white,82
21452,knows,82
2806,answer,81
38860,Time,81
15726,future,81
33395,sad,81
42453,With,81
10221,data,81
6770,cannot,80
43137,yesterday,80
31183,quite,80
17763,heart,80
34634,share,80
34177,seem,80
16441,God,80
26465,non,79
17376,hand,79
4599,Because,79
11779,Does,79
28608,People,79
15359,freedom,79
16277,girl,79
29542,politics,79
14667,fine,79
3786,available,78
13649,exactly,78
17240,haha,78
11473,discrimination,78
35894,son,78
15151,forget,78
34458,Service,77
7325,chance,77
26127,Never,77
18237,hold,77
16286,girls,77
22303,level,77
4381,based,77
38520,Then,77
10324,death,76
13612,evil,76
21417,knew,76
16321,glad,76
15058,food,76
15845,games,76
24649,mine,76
42699,Would,76
16941,group,76
1909,After,76
22898,Looking,75
25287,move,75
33268,running,75
3283,art,75
36054,space,75
32476,rest,75
2377,alone,75
13799,experience,75
14058,fair,75
29746,possible,74
35903,song,74
14142,fan,74
41724,wanted,74
34112,second,74
34423,series,73
18157,history,73
41860,water,73
35021,sick,73
26697,number,73
28659,perfect,73
37716,system,73
22615,listen,73
42677,worse,73
19759,interesting,72
13695,excited,72
9225,corrupt,72
8282,collection,72
15487,front,72
9336,couple,72
22429,lies,72
21971,law,72
1505,account,72
3299,article,71
36858,straight,71
42465,within,71
37827,taken,71
7470,Check,71
3698,Aussie,71
22022,leader,70
2371,almost,70
22370,Liberal,70
36291,Sport,70
13387,especially,70
26558,NOT,70
22487,Like,70
35447,sleep,70
22056,learn,70
2839,anti,70
30573,proud,70
36517,stand,70
39879,turn,69
36101,special,69
14636,finally,69
5069,Bill,69
9908,current,69
39224,totally,69
14735,First,69
16440,god,68
34342,sense,68
41850,watched,68
7499,Cheers,68
39632,trip,68
16307,giving,68
18489,hot,68
25514,music,68
21324,Kings,68
19649,instead,68
12203,DSS,68
9368,cover,68
31331,Rain,68
13569,event,68
29234,plan,68
37821,Take,67
4604,become,67
31600,ready,67
15683,funny,67
23923,matter,67
23012,low,67
2380,along,67
22640,literally,67
24216,members,67
31803,red,66
24609,million,66
7672,choice,66
5227,black,66
36977,strong,66
13942,eyes,66
42170,Which,66
22890,Look,66
12492,easy,66
28922,phone,66
33723,save,66
4,000,66
40815,vaccinated,65
4280,Bar,65
28755,personal,65
27624,outside,65
17988,hey,65
19237,including,65
10226,date,65
42645,works,65
36468,staff,65
6035,brilliant,65
7921,class,64
22610,list,64
34314,send,64
14350,February,64
22688,living,64
27024,often,64
4611,bed,64
36297,Sportsmad,64
1601,across,64
33052,room,64
23959,May,64
38927,Tipping,64
35748,social,64
9386,COVID,63
5805,boy,63
2433,Always,63
38344,terrible,63
42026,welcome,63
38202,telling,63
39970,Twitter,63
13650,Exactly,63
34648,sharing,63
33891,science,63
37308,Sunday,63
31102,Queensland,63
22456,light,63
15953,gave,62
11974,doubt,62
5760,bought,62
42539,Women,62
38516,themselves,62
27869,paid,62
10136,dangerous,62
30538,protect,62
19277,incredible,62
14755,fit,62
5489,body,62
22878,longer,62
41936,wear,62
29623,poor,62
17303,hair,62
17222,Had,62
22992,loved,62
34430,seriously,61
11241,difference,61
2645,AND,61
28986,pic,61
36625,stay,61
5114,bio,61
18099,himself,61
25078,month,61
6050,Brisbane,61
18140,His,61
5922,break,61
16478,Gold,61
35205,single,61
7968,clear,61
42626,worked,60
31594,reading,60
11215,died,60
34160,See,60
13586,Every,60
38325,term,60
34457,service,59
7623,China,59
8087,club,59
42366,Wind,59
41245,view,59
35972,sort,59
12140,drive,59
2887,Any,59
13674,excellent,59
26966,OFF,59
11213,die,59
34962,shows,59
18511,hour,59
10330,deaths,59
18566,hpa,58
1405,absolute,58
37346,super,58
5850,brain,58
9019,control,58
1678,add,58
32844,risk,58
29302,player,58
5344,blocked,58
24689,Minister,58
13166,entire,58
8569,complete,58
1817,advice,58
32778,rights,58
19013,imagine,57
33130,round,57
32571,return,57
16617,Got,57
20531,jobs,57
7591,child,57
24286,mental,57
39741,trust,57
14319,fear,57
8572,completely,57
32279,report,57
14041,failed,57
23070,lucky,57
20562,join,57
29720,position,57
6982,cases,57
32468,response,57
38610,thinks,56
31609,realise,56
41938,wearing,56
9258,cost,56
25472,murder,56
27412,order,56
37178,Such,56
13929,eye,56
31625,Really,56
26574,Nothing,56
12651,effort,56
5374,bloody,56
42629,workers,56
36008,sounds,56
34889,short,56
10238,daughter,56
24807,missed,56
29306,players,56
36300,spot,56
32441,respect,56
14933,floor,56
15042,following,56
7631,Chinese,56
22953,loss,56
1942,aged,56
11092,Dewp,55
7339,changed,55
38226,Temp,55
25296,movie,55
480,2021,55
658,2nd,55
5026,Big,55
1916,afternoon,55
19938,involved,55
3385,asking,55
8049,closed,55
12162,drop,55
25208,Most,55
26514,normal,55
26701,numbers,55
41716,wanna,55
28994,pick,55
39883,turned,55
36572,starting,55
5575,BONG,55
18629,Hum,55
29506,police,55
32985,role,55
36919,strength,54
33243,rules,54
15654,funding,54
40109,ukulele,54
13566,evening,54
6887,career,54
43219,YOU,54
16585,gorgeous,54
29727,positive,54
13088,Enjoy,54
24138,meeting,54
1429,abuse,53
6647,calling,53
7023,cat,53
10032,dad,53
14168,fantastic,53
13778,expect,53
3971,baby,53
25927,near,53
22943,lose,53
12494,eat,53
24517,middle,53
10309,deal,53
39138,Too,53
8375,Come,53
8428,comment,53
26887,obviously,52
23810,mask,52
28129,parents,52
32896,road,52
26982,office,52
8779,Congrats,52
39279,towards,52
13608,evidence,52
30901,putting,52
32769,Right,52
34146,security,52
34427,serious,52
2900,Anyone,52
31619,reality,52
32366,research,52
16649,Government,52
18549,however,52
39724,truly,52
23839,massive,52
37018,students,51
36009,Sounds,51
437,1st,51
19912,investigation,51
17559,Has,51
1603,act,51
20146,Its,51
37832,takes,51
15483,From,51
41352,visit,51
9460,crap,51
27210,online,51
7428,chat,51
22791,LOCK,51
19594,inside,51
2464,Amazing,51
34355,sent,51
28268,passed,50
22963,lots,50
33877,schools,50
38379,test,50
12348,Dutton,50
14775,five,50
8088,Club,50
18328,honest,50
17248,Hahaha,50
37474,surprise,50
6065,bro,50
24136,meet,50
42015,weird,50
2908,anyway,50
24070,meant,50
15172,form,50
36089,speak,50
15541,fucked,50
4646,Been,50
23396,major,50
28163,parliament,50
36681,step,50
30171,price,49
9573,crimes,49
35288,situation,49
2040,ahead,49
4534,beach,49
40887,value,49
27331,opportunity,49
9953,cute,49
8976,continue,49
11318,dinner,49
21748,lady,49
23652,March,49
3987,Back,49
17454,happening,49
10320,dear,49
42685,worst,49
34921,shouldn,49
14778,fix,49
21239,kid,49
7037,catch,49
2897,anymore,49
41667,walking,49
3005,apparently,49
22622,listening,49
28164,Parliament,48
1939,age,48
23524,mandates,48
41418,VK4,48
4535,Beach,48
19757,interested,48
1610,action,48
7229,certainly,48
25811,national,48
2211,Albo,48
22789,lock,48
13824,explain,48
14386,feels,48
41419,VK4MGL,48
10546,Definitely,48
19452,information,48
2347,allowed,48
14415,felt,48
29415,PnP,48
24401,met,48
34540,sexual,48
6692,campaign,48
31150,quick,47
41451,voice,47
22172,legislation,47
13044,energy,47
24688,minister,47
10908,deserve,47
30417,project,47
22492,likely,47
38672,thread,47
27873,pain,47
9483,crazy,47
31139,questions,47
27062,okay,47
37476,surprised,47
37415,supporting,47
39715,True,47
17410,hands,47
7976,clearly,47
41126,version,47
2100,air,47
13594,Everyone,47
14159,fans,47
27156,Omg,47
28259,pass,47
21268,killed,47
16477,gold,46
40739,usually,46
8202,coffee,46
15539,Fuck,46
21980,laws,46
41510,voted,46
42073,West,46
32138,Remember,46
39997,type,46
19754,interest,46
4954,beyond,46
8354,com,46
2702,angry,46
17458,happens,46
19971,iPnP,46
42404,winning,46
35284,sitting,46
10262,DAY,46
6292,bullshit,46
38652,Those,46
14683,finished,46
40824,vaccine,46
24295,mention,46
22064,learning,45
4913,bet,45
41519,voting,45
27855,page,45
37281,summer,45
42760,writing,45
11209,Didn,45
16306,gives,45
39221,total,45
5252,blame,45
16417,goal,45
29930,pre,45
22892,looked,45
42124,whatever,45
42708,wow,45
31714,reckon,45
36160,spend,45
26182,NFT,45
22421,lie,45
25148,Morning,45
27462,original,45
39981,Two,45
15005,focus,44
17470,HAPPY,44
8472,common,44
7887,claim,44
39601,tried,44
6447,busy,44
27985,pandemic,44
22820,log,44
29396,plus,44
18401,Hopefully,44
1471,access,44
2992,app,44
42027,Welcome,44
29657,por,44
17569,hasn,44
16660,govt,44
5797,box,44
22941,los,44
22019,lead,44
19820,interview,44
36166,spent,44
12091,dream,44
18521,House,44
1708,Adelaide,44
32737,ride,44
7856,city,44
29013,picture,43
17882,Hello,43
13234,episode,43
30295,Probably,43
6108,brought,43
3053,appreciate,43
9350,court,43
14705,fire,43
13701,exciting,43
9656,cross,43
10338,debate,43
21265,kill,43
20574,joke,43
14539,field,43
23877,match,43
21725,lack,43
5406,blue,43
28624,per,43
30374,profile,43
14087,fake,43
14084,faith,43
16857,Greens,42
38501,Their,42
34956,showing,42
29650,population,42
12388,dying,42
22659,Little,42
21941,laugh,42
29514,policy,42
38027,tax,42
2343,allow,42
9949,cut,42
31695,recently,42
21925,latest,42
42673,worry,42
24003,MCD2,42
25812,National,42
39329,track,42
31488,rate,42
27313,opinion,42
35164,simply,42
42077,Western,42
39292,town,42
35879,Someone,42
14630,final,42
37447,Sure,42
3586,attack,42
35568,smile,42
23171,lying,41
6242,building,41
30322,process,41
9285,Could,41
9231,corruption,41
24214,member,41
9911,currently,41
30141,Pretty,41
15125,foreign,41
42407,wins,41
5029,bigger,41
14360,federal,41
22027,leadership,41
35268,sit,41
19296,indeed,41
25652,Nah,41
35143,similar,41
12182,drug,41
40865,Valentine,41
41513,voters,41
23620,Many,41
15161,forgot,41
9841,culture,41
24105,medical,41
3880,Awesome,41
4164,ball,40
39246,tough,40
6322,bunch,40
14348,Feb,40
36906,stream,40
30077,present,40
11897,dont,40
21911,Last,40
36828,stories,40
8136,Coast,40
10953,desperate,40
25438,mum,40
29869,ppl,40
11970,double,40
21821,land,40
15142,forever,40
5815,boys,40
25220,mother,40
6103,brother,40
9326,countries,40
41944,weather,40
2387,ALP,40
14567,fighting,40
21226,kick,40
32897,Road,40
32509,result,40
26884,obvious,40
21067,Keep,40
24590,military,39
14232,fast,39
31330,rain,39
30552,protest,39
11004,details,39
1999,Agree,39
26412,nobody,39
25022,Monday,39
31239,race,39
5407,Blue,39
14105,fall,39
36096,speaking,39
29679,port,39
10100,damn,39
28051,paper,39
8955,content,39
14418,female,39
10033,Dad,39
29241,planet,39
19385,industry,39
30363,professional,39
28948,photos,39
33819,scared,39
42551,Wonderful,39
40611,update,39
12128,drink,39
26171,Next,39
43395,zero,39
41658,Wales,39
36575,starts,39
17897,helping,39
33622,Sant,39
28145,Park,39
18470,hospital,39
25932,nearly,39
31691,receiving,39
3354,Asharamji,38
32515,results,38
36812,stopped,38
40826,vaccines,38
30265,private,38
9494,create,38
38626,THIS,38
4652,beer,38
28321,pathetic,38
18408,hoping,38
19318,India,38
37071,style,38
14409,fellow,38
35999,sound,38
31046,quality,38
4705,behaviour,38
9306,count,38
26508,Nope,38
9201,correct,38
22038,league,38
35765,society,38
4278,Bapu,38
5732,Both,38
10474,deep,38
42388,wing,38
28071,para,38
8515,company,38
34914,Should,38
3838,avoid,38
36599,states,38
34970,Shri,38
27157,OMG,38
14559,fight,38
18445,horrible,38
2301,ALL,38
15706,further,37
36436,SSB,37
29279,platform,37
7376,character,37
5337,block,37
10407,decision,37
13899,extra,37
28660,Perfect,37
34431,Seriously,37
21844,lanes,37
7699,choose,37
17862,held,37
31155,quickly,37
23493,Man,37
27366,option,37
42750,write,37
17756,hearing,37
7192,Centre,37
9560,cricket,37
39528,treat,37
23008,loving,37
22085,leaving,37
9664,crossed,37
34268,sell,37
13916,extremely,37
37347,Super,37
16424,goals,37
4490,Bay,36
12259,dumb,36
13602,everywhere,36
38633,tho,36
13663,example,36
5161,Birthday,36
16322,Glad,36
29353,plenty,36
22376,Liberals,36
24388,message,36
24548,Might,36
15625,fully,36
29798,potential,36
35273,site,36
8335,colour,36
29879,pra,36
10396,decided,36
31759,record,36
36626,Stay,36
13807,experimental,36
32747,ridiculous,36
23817,masks,36
13432,est,36
6940,carrier,36
23705,market,36
32102,religion,36
16688,Grace,36
10101,Damn,36
22435,Life,36
35077,sign,36
21174,key,36
21451,known,36
7995,Click,36
3608,attention,36
10058,daily,36
17929,Her,35
38096,teams,35
39941,tweets,35
29614,pool,35
23004,loves,35
34996,shut,35
1333,ABC,35
8437,comments,35
12230,dude,35
39380,train,35
37449,surely,35
29028,pieces,35
4592,beauty,35
32275,reply,35
6898,cares,35
23112,lunch,35
35156,simple,35
37611,sweet,35
5359,bloke,35
40738,usual,35
26975,offer,35
18866,ideas,35
41834,waste,35
40714,useless,35
16952,grow,35
6036,Brilliant,35
35886,sometimes,35
4156,Balibo,35
4065,bag,35
24939,model,34
5031,biggest,34
34122,secret,34
16625,gotta,34
19158,improve,34
23412,Make,34
7848,citizens,34
2714,animals,34
15958,gay,34
2711,animal,34
31587,Read,34
16473,Going,34
37450,Surely,34
18245,hole,34
2089,ain,34
15100,FOR,34
6690,camp,34
39533,treatment,34
42399,winner,34
6872,card,34
36719,stick,34
28890,PhD,34
15028,folks,34
34909,shots,34
3284,Art,34
4937,Better,34
3006,Apparently,33
16220,gift,33
7454,cheap,33
6410,bus,33
26469,none,33
10181,dark,33
15040,followers,33
2507,amendments,33
15182,former,33
34091,seat,33
39969,twitter,33
32711,rich,33
18710,hurt,33
40362,Unfortunately,33
42181,whilst,33
22025,leaders,33
23899,mates,33
25290,moved,33
19014,Imagine,33
36893,strategy,33
41847,Watch,33
10911,deserved,33
2215,album,33
30592,provide,33
42439,wishes,33
38849,till,33
18481,host,33
39389,training,33
36808,Stop,33
14505,FFS,33
16846,green,33
3162,area,33
26155,News,33
19760,Interesting,33
20563,Join,33
18084,Hill,33
3592,attempt,33
11922,door,33
14371,feed,33
38461,Thankyou,33
38469,Thats,33
32108,Religious,33
4279,bar,33
38080,teacher,33
37847,talent,33
12549,economic,33
13012,ended,33
35081,Signal,33
31776,recovery,33
12613,education,33
1638,actual,33
24725,minute,33
13797,expensive,33
13075,English,32
18055,highly,32
34603,shame,32
38197,Tell,32
12822,email,32
13748,exist,32
22669,lived,32
40283,understanding,32
8648,con,32
18719,husband,32
25439,Mum,32
37421,supposed,32
8011,climate,32
3882,awful,32
545,236,32
27573,OUT,32
16955,growing,32
20150,itself,32
39491,travel,32
32174,removed,32
31097,Queen,32
29224,places,32
16364,global,32
36591,State,32
15104,force,32
43058,Year,32
41516,votes,32
29256,plant,32
25370,Much,32
14897,flight,32
3254,arrived,32
16298,Give,32
30199,Prime,32
6085,broken,32
42763,written,32
31567,reach,32
34874,shop,32
41959,website,32
25841,nature,32
26263,Night,32
22964,Lots,32
33985,screen,32
41633,Wait,32
30108,press,31
4395,basic,31
40158,una,31
35499,slow,31
25809,nation,31
30285,pro,31
28671,performance,31
39163,Top,31
39415,trans,31
14116,false,31
42654,World,31
10082,damage,31
21276,killing,31
28687,Perhaps,31
39542,trees,31
18895,idiots,31
36290,sport,31
17491,Hard,31
4569,beat,31
6361,bureaucrats,31
29346,pleasure,31
23368,main,31
21886,large,31
5657,booster,31
15400,Frequency,31
19137,impossible,31
23385,mais,31
7857,City,31
21074,keeps,31
20645,joy,31
8857,considered,31
31692,recent,31
11892,DONNY,31
19233,include,31
22497,likes,31
11802,dogs,31
30559,protesters,31
28228,partner,31
37031,study,31
35263,sister,31
22666,Live,31
13675,Excellent,31
1460,accept,31
12465,earth,31
905,4th,31
42273,whose,31
7385,charge,31
19707,integrity,31
20632,journalists,30
10112,dan,30
38467,THAT,30
20635,journey,30
25958,Need,30
22975,loud,30
477,2019,30
30866,push,30
9375,covering,30
10386,decent,30
13677,except,30
6651,calls,30
35818,sold,30
39225,Totally,30
24804,Miss,30
21854,language,30
16945,groups,30
19446,info,30
10963,despite,30
32347,required,30
18458,horse,30
14361,Federal,30
28240,Party,30
34945,showed,30
7136,celebrate,30
41757,Warli,30
19363,Indonesian,30
40634,upon,30
16661,Govt,30
26577,notice,30
28785,Perth,30
36524,standing,30
1383,About,30
1386,above,30
31804,Red,30
34184,Seems,30
27531,otherwise,30
10628,delicious,30
14018,facts,30
14038,fail,30
16043,general,30
16037,gender,30
3161,ARE,30
21448,knowledge,30
12732,elections,30
22189,legs,30
5375,Bloody,30
38762,Thursday,30
9576,criminal,30
6739,cancelled,29
20777,justice,29
37988,taste,29
33838,scene,29
1925,Again,29
16933,ground,29
7343,changes,29
29475,points,29
6238,build,29
21842,lane,29
9289,Couldn,29
5697,born,29
12443,earlier,29
15095,footy,29
24615,millions,29
3043,apply,29
38663,thoughts,29
36476,stage,29
14637,Finally,29
43258,yrs,29
14574,figure,29
31649,reasons,29
41333,virus,29
21135,kept,29
18134,hiring,29
27572,Out,29
28445,peace,29
8512,companies,29
28406,paying,29
478,2020,29
13590,everyday,29
22999,Lovely,29
3965,babe,29
32503,restrictions,29
14655,finding,29
28686,perhaps,29
33271,runs,29
38912,tiny,29
22148,legal,29
39237,touch,29
34462,services,29
37012,stuck,29
30543,protection,29
18891,idiot,29
16154,Getting,29
37296,sun,29
40819,vaccination,28
41186,VIC,28
12727,elected,28
41246,View,28
449,2000,28
28695,period,28
6043,brings,28
25835,natural,28
7954,clean,28
35535,smart,28
35356,skills,28
13783,expected,28
25300,moving,28
6955,cars,28
42009,weight,28
38722,throw,28
42794,WTF,28
14169,Fantastic,28
5182,Bit,28
27580,outcome,28
26532,North,28
16652,governments,28
32058,relationship,28
27063,Okay,28
8276,colleagues,28
3055,appreciated,28
25484,Murdoch,28
30436,promise,28
20084,Isn,28
32790,ring,28
9869,Cup,28
12150,driving,28
7893,claims,28
37163,success,28
28214,particular,28
3307,artist,28
34399,ser,28
29990,prefer,28
25429,multiple,28
36295,sports,28
19782,international,28
5391,blow,28
11248,difficult,28
32281,reported,28
19624,inspired,28
17705,heading,28
24242,memories,28
31577,reaction,28
6486,buying,28
8850,consider,28
1501,according,28
20566,joined,28
29397,Plus,28
33411,Sadly,28
18400,hopefully,28
39689,trouble,28
17742,healthy,28
13716,excuse,27
15504,fruit,27
10248,David,27
571,24TH,27
14133,families,27
14608,film,27
5682,border,27
2661,Andrew,27
24082,meat,27
19783,International,27
11498,disgrace,27
4832,benefit,27
23926,matters,27
916,500,27
25277,mouth,27
27338,opposition,27
7575,chicken,27
23016,lower,27
17903,helps,27
22797,locked,27
38603,Think,27
27651,Over,27
43141,Yet,27
3086,April,27
18330,honestly,27
19004,image,27
7739,Christian,27
40608,upcoming,27
7069,caught,27
5142,bird,27
9244,cos,27
784,3rd,27
16530,goodness,27
38666,thousands,27
36133,speech,27
13090,enjoyed,27
22130,Left,27
38918,tip,27
22156,legend,27
22950,losing,27
41253,views,27
33235,rule,27
19297,Indeed,27
17397,handle,27
4397,basically,27
1643,Actually,27
30484,proper,27
25536,Must,27
95,1000,27
39338,trade,27
22396,Libs,27
13092,enjoying,27
7080,caused,27
28219,parties,27
1374,Aboriginal,27
31263,racist,27
18040,High,27
35907,songs,27
23447,male,27
34801,shirt,26
10922,design,26
9594,crisis,26
10914,deserves,26
39949,twice,26
32945,rock,26
33892,Science,26
2557,amount,26
24728,Minutes,26
34599,sham,26
14049,failure,26
11474,Discrimination,26
16287,Girls,26
23739,married,26
30023,Premier,26
22848,LOL,26
25775,narrative,26
35306,size,26
21063,keen,26
42165,whether,26
30343,product,26
4203,band,26
36821,store,26
2933,apart,26
